,s1,s2,s3,s4,e1,e2,e3,e4
69,0.2,0.1,0.2,0.2,0.23592000000001076,0.11796000000000538,0.23592000000001076,0.41019999999997314
70,0.2,0.1,0.2,0.30000000000000004,0.23592000000001076,0.11796000000000538,0.23592000000001076,0.41019999999997314
71,0.2,0.1,0.2,0.5,0.23592000000001076,0.11796000000000538,0.23592000000001076,0.41019999999997314
72,0.2,0.1,0.30000000000000004,0.1,0.1965999999999867,0.09829999999999335,0.2949000000000092,0.41020000000001083
73,0.2,0.1,0.30000000000000004,0.2,0.1965999999999867,0.09829999999999335,0.2949000000000092,0.41020000000001083
74,0.2,0.1,0.30000000000000004,0.30000000000000004,0.1965999999999867,0.09829999999999335,0.2949000000000092,0.41020000000001083
75,0.2,0.1,0.4,0.1,0.16851428571428273,0.08425714285714136,0.33702857142856546,0.41020000000001045
76,0.2,0.1,0.4,0.2,0.16851428571428273,0.08425714285714136,0.33702857142856546,0.41020000000001045
77,0.2,0.1,0.5,0.1,0.14745,0.073725,0.368625,0.4102
78,0.2,0.2,0.1,0.1,0.23592000000001076,0.23592000000001076,0.11796000000000538,0.41019999999997314
79,0.2,0.2,0.1,0.2,0.23592000000001076,0.23592000000001076,0.11796000000000538,0.41019999999997314
80,0.2,0.2,0.1,0.30000000000000004,0.23592000000001076,0.23592000000001076,0.11796000000000538,0.41019999999997314
81,0.2,0.2,0.1,0.5,0.23592000000001076,0.23592000000001076,0.11796000000000538,0.41019999999997314
82,0.2,0.2,0.2,0.1,0.1965999999999931,0.1965999999999931,0.1965999999999931,0.41020000000002066
83,0.2,0.2,0.2,0.2,0.1965999999999931,0.1965999999999931,0.1965999999999931,0.41020000000002066
84,0.2,0.2,0.2,0.30000000000000004,0.1965999999999931,0.1965999999999931,0.1965999999999931,0.41020000000002066
85,0.2,0.2,0.30000000000000004,0.1,0.16851428571428193,0.16851428571428193,0.2527714285714277,0.4102000000000085
86,0.2,0.2,0.30000000000000004,0.2,0.16851428571428193,0.16851428571428193,0.2527714285714277,0.4102000000000085
87,0.2,0.2,0.4,0.1,0.14745,0.14745,0.2949,0.4102
88,0.2,0.30000000000000004,0.1,0.1,0.1965999999999867,0.2949000000000092,0.09829999999999335,0.41020000000001083
89,0.2,0.30000000000000004,0.1,0.2,0.1965999999999867,0.2949000000000092,0.09829999999999335,0.41020000000001083
90,0.2,0.30000000000000004,0.1,0.30000000000000004,0.1965999999999867,0.2949000000000092,0.09829999999999335,0.41020000000001083
91,0.2,0.30000000000000004,0.2,0.1,0.16851428571428193,0.2527714285714277,0.16851428571428193,0.4102000000000085
92,0.2,0.30000000000000004,0.2,0.2,0.16851428571428193,0.2527714285714277,0.16851428571428193,0.4102000000000085
93,0.2,0.30000000000000004,0.2,0.30000000000000004,0.16851428571428193,0.2527714285714277,0.16851428571428193,0.4102000000000085
94,0.2,0.30000000000000004,0.30000000000000004,0.1,0.14745,0.22117500000000004,0.22117500000000004,0.4102
95,0.2,0.4,0.1,0.1,0.16851428571428273,0.33702857142856546,0.08425714285714136,0.41020000000001045
96,0.2,0.4,0.1,0.2,0.16851428571428273,0.33702857142856546,0.08425714285714136,0.41020000000001045
97,0.2,0.4,0.2,0.1,0.14745,0.2949,0.14745,0.4102
98,0.2,0.5,0.1,0.1,0.14745000000000003,0.368625,0.07372500000000001,0.4102
99,0.2,0.5,0.1,0.2,0.14745000000000003,0.368625,0.07372500000000001,0.4102
100,0.2,0.5,0.2,0.1,0.1310666666666491,0.32766666666670397,0.1310666666666491,0.4101999999999979
101,0.30000000000000004,0.1,0.1,0.1,0.353879999999951,0.1179600000000241,0.1179600000000241,0.41020000000000084
102,0.30000000000000004,0.1,0.1,0.2,0.353879999999951,0.1179600000000241,0.1179600000000241,0.41020000000000084
103,0.30000000000000004,0.1,0.1,0.30000000000000004,0.353879999999951,0.1179600000000241,0.1179600000000241,0.41020000000000084
104,0.30000000000000004,0.1,0.1,0.5,0.353879999999951,0.1179600000000241,0.1179600000000241,0.41020000000000084
105,0.30000000000000004,0.1,0.2,0.1,0.2949000000000091,0.09829999999999338,0.19659999999998676,0.4102000000000107
106,0.30000000000000004,0.1,0.2,0.2,0.2949000000000091,0.09829999999999338,0.19659999999998676,0.4102000000000107
107,0.30000000000000004,0.1,0.2,0.30000000000000004,0.2949000000000091,0.09829999999999338,0.19659999999998676,0.4102000000000107
108,0.30000000000000004,0.1,0.30000000000000004,0.1,0.25277142857142654,0.08425714285714035,0.25277142857142654,0.4102000000000066
109,0.30000000000000004,0.1,0.30000000000000004,0.2,0.25277142857142654,0.08425714285714035,0.25277142857142654,0.4102000000000066
110,0.30000000000000004,0.1,0.4,0.1,0.22117500000000004,0.073725,0.2949,0.4102
111,0.30000000000000004,0.2,0.1,0.1,0.2949000000000092,0.1965999999999867,0.09829999999999335,0.41020000000001083
112,0.30000000000000004,0.2,0.1,0.2,0.2949000000000092,0.1965999999999867,0.09829999999999335,0.41020000000001083
113,0.30000000000000004,0.2,0.1,0.30000000000000004,0.2949000000000092,0.1965999999999867,0.09829999999999335,0.41020000000001083
114,0.30000000000000004,0.2,0.2,0.1,0.2527714285714277,0.16851428571428193,0.16851428571428193,0.4102000000000085
115,0.30000000000000004,0.2,0.2,0.2,0.2527714285714277,0.16851428571428193,0.16851428571428193,0.4102000000000085
116,0.30000000000000004,0.2,0.2,0.30000000000000004,0.2527714285714277,0.16851428571428193,0.16851428571428193,0.4102000000000085
117,0.30000000000000004,0.2,0.30000000000000004,0.1,0.22117500000000004,0.14745,0.22117500000000004,0.4102
