,p1,p2,p3,p4,ll
117,0.01,0.085,0.085,0.8200000000000001,-1091.5796099616423
118,0.01,0.085,0.11000000000000001,0.7949999999999999,-1027.7037921466842
119,0.01,0.085,0.135,0.77,-973.0600644239581
120,0.01,0.085,0.16,0.745,-925.850137129825
121,0.01,0.085,0.185,0.72,-884.7919545792975
122,0.01,0.085,0.21,0.6950000000000001,-848.943874033242
123,0.01,0.085,0.235,0.67,-817.5985657146474
124,0.01,0.085,0.26,0.645,-790.2160207780546
125,0.01,0.085,0.28500000000000003,0.62,-766.3797056557175
126,0.01,0.085,0.31000000000000005,0.595,-745.7670587771318
127,0.01,0.085,0.3350000000000001,0.57,-728.1292467645831
128,0.01,0.085,0.3600000000000001,0.5449999999999999,-713.2771376134339
129,0.01,0.085,0.3850000000000001,0.5199999999999999,-701.0716222263769
130,0.01,0.085,0.41000000000000014,0.4949999999999999,-691.4171237232183
131,0.01,0.085,0.43500000000000016,0.46999999999999986,-684.2575846030575
132,0.01,0.085,0.4600000000000002,0.44499999999999984,-679.5745300151623
133,0.01,0.085,0.4850000000000002,0.4199999999999998,-677.387039661786
134,0.01,0.085,0.5100000000000002,0.3949999999999998,-677.7536678276103
135,0.01,0.085,0.5350000000000003,0.3699999999999998,-680.7765700467023
136,0.01,0.085,0.5600000000000003,0.34499999999999975,-686.6083697930848
137,0.01,0.085,0.5850000000000003,0.31999999999999973,-695.4626915886769
138,0.01,0.085,0.6100000000000003,0.2949999999999997,-707.6299016700449
139,0.01,0.085,0.6350000000000003,0.2699999999999997,-723.5006232239098
140,0.01,0.085,0.6600000000000004,0.24499999999999966,-743.6014001405788
141,0.01,0.085,0.6850000000000004,0.21999999999999964,-768.650238737654
142,0.01,0.085,0.7100000000000004,0.19499999999999962,-799.6463590129033
143,0.01,0.085,0.7350000000000004,0.1699999999999996,-838.0223835887904
144,0.01,0.085,0.7600000000000005,0.14499999999999957,-885.9189456435291
145,0.01,0.085,0.7850000000000005,0.11999999999999955,-946.7221691975595
146,0.01,0.085,0.8100000000000005,0.09499999999999953,-1026.2381946950582
147,0.01,0.085,0.8350000000000005,0.06999999999999951,-1135.70001325909
148,0.01,0.085,0.8600000000000005,0.044999999999999485,-1301.6690161433855
149,0.01,0.085,0.8850000000000006,0.019999999999999463,-1619.740849840987
150,0.01,0.11000000000000001,0.01,0.87,-1258.9267776762122
151,0.01,0.11000000000000001,0.035,0.845,-1167.3105312729024
152,0.01,0.11000000000000001,0.060000000000000005,0.82,-1091.5796099616423
153,0.01,0.11000000000000001,0.085,0.7949999999999999,-1027.7037921466842
154,0.01,0.11000000000000001,0.11000000000000001,0.77,-973.0600644239581
155,0.01,0.11000000000000001,0.135,0.745,-925.850137129825
156,0.01,0.11000000000000001,0.16,0.72,-884.7919545792975
157,0.01,0.11000000000000001,0.185,0.6950000000000001,-848.943874033242
158,0.01,0.11000000000000001,0.21,0.6699999999999999,-817.5985657146474
159,0.01,0.11000000000000001,0.235,0.645,-790.2160207780546
160,0.01,0.11000000000000001,0.26,0.62,-766.3797056557175
161,0.01,0.11000000000000001,0.28500000000000003,0.595,-745.7670587771318
162,0.01,0.11000000000000001,0.31000000000000005,0.57,-728.1292467645831
163,0.01,0.11000000000000001,0.3350000000000001,0.5449999999999999,-713.2771376134339
164,0.01,0.11000000000000001,0.3600000000000001,0.5199999999999999,-701.0716222263769
165,0.01,0.11000000000000001,0.3850000000000001,0.4949999999999999,-691.4171237232183
166,0.01,0.11000000000000001,0.41000000000000014,0.46999999999999986,-684.2575846030575
167,0.01,0.11000000000000001,0.43500000000000016,0.44499999999999984,-679.5745300151623
168,0.01,0.11000000000000001,0.4600000000000002,0.4199999999999998,-677.387039661786
169,0.01,0.11000000000000001,0.4850000000000002,0.3949999999999998,-677.7536678276103
170,0.01,0.11000000000000001,0.5100000000000002,0.3699999999999998,-680.7765700467023
