,p1,p2,p3,ll
54,0,0.5400000000000003,0.45999999999999974,-710.3072750179472
55,0,0.5500000000000003,0.44999999999999973,-715.6306989919032
56,0,0.5600000000000003,0.4399999999999997,-721.3806226044554
57,0,0.5700000000000003,0.4299999999999997,-727.565544460301
58,0,0.5800000000000003,0.4199999999999997,-734.1951567000831
59,0,0.5900000000000003,0.4099999999999997,-741.2804184996006
60,0,0.6000000000000003,0.3999999999999997,-748.8336422254831
61,0,0.6100000000000003,0.3899999999999997,-756.8685938064114
62,0,0.6200000000000003,0.37999999999999967,-765.4006092050802
63,0,0.6300000000000003,0.36999999999999966,-774.4467292662287
64,0,0.6400000000000003,0.35999999999999965,-784.0258556868104
65,0,0.6500000000000004,0.34999999999999964,-794.1589314269075
66,0,0.6600000000000004,0.33999999999999964,-804.8691495814908
67,0,0.6700000000000004,0.3299999999999996,-816.1821955987984
68,0,0.6800000000000004,0.3199999999999996,-828.1265288069197
69,0,0.6900000000000004,0.3099999999999996,-840.7337105566423
70,0,0.7000000000000004,0.2999999999999996,-854.0387879860209
71,0,0.7100000000000004,0.2899999999999996,-868.0807445679679
72,0,0.7200000000000004,0.2799999999999996,-882.9030313616157
73,0,0.7300000000000004,0.2699999999999996,-898.5541964492646
74,0,0.7400000000000004,0.25999999999999956,-915.0886346761592
75,0,0.7500000000000004,0.24999999999999956,-932.5674858999613
76,0,0.7600000000000005,0.23999999999999955,-951.0597180355926
77,0,0.7700000000000005,0.22999999999999954,-970.6434420121091
78,0,0.7800000000000005,0.21999999999999953,-991.4075204439586
79,0,0.7900000000000005,0.20999999999999952,-1013.4535519755622
80,0,0.8000000000000005,0.1999999999999995,-1036.8983412915854
81,0,0.8100000000000005,0.1899999999999995,-1061.8770043376735
82,0,0.8200000000000005,0.1799999999999995,-1088.5469149829062
83,0,0.8300000000000005,0.16999999999999948,-1117.0927820070976
84,0,0.8400000000000005,0.15999999999999948,-1147.7332681110513
85,0,0.8500000000000005,0.14999999999999947,-1180.7297490105934
86,0,0.8600000000000005,0.13999999999999946,-1216.398100151236
87,0,0.8700000000000006,0.12999999999999945,-1255.1248601538261
88,0,0.8800000000000006,0.11999999999999944,-1297.389878183036
89,0,0.8900000000000006,0.10999999999999943,-1343.798840156074
90,0,0.9000000000000006,0.09999999999999942,-1395.131342554187
91,0,0.9100000000000006,0.08999999999999941,-1452.4143829002717
92,0,0.9200000000000006,0.0799999999999994,-1517.0393187007742
93,0,0.9300000000000006,0.0699999999999994,-1590.9573378203277
94,0,0.9400000000000006,0.05999999999999939,-1677.0266324737115
95,0,0.9500000000000006,0.04999999999999938,-1779.678975158251
96,0,0.9600000000000006,0.03999999999999937,-1906.339592934499
97,0,0.9700000000000006,0.02999999999999936,-2070.9291384180137
98,0,0.9800000000000006,0.01999999999999935,-2304.7012223084575
99,0,0.9900000000000007,0.009999999999999343,-2707.385687882506
100,0.01,0,0.99,-1907.8348339590868
101,0.01,0.01,0.98,-1627.5244904372082
102,0.01,0.02,0.97,-1466.0879663866765
103,0.01,0.03,0.96,-1353.3582264539566
104,0.01,0.04,0.95,-1267.3465927832904
105,0.01,0.05,0.94,-1198.2594880044123
106,0.01,0.060000000000000005,0.9299999999999999,-1140.8733919472857
107,0.01,0.07,0.92,-1092.0709345465325
108,0.01,0.08,0.91,-1049.841905222842
109,0.01,0.09,0.9,-1012.8142660976848
110,0.01,0.09999999999999999,0.89,-980.0098892895982
111,0.01,0.10999999999999999,0.88,-950.70702952694
112,0.01,0.11999999999999998,0.87,-924.358035706236
113,0.01,0.12999999999999998,0.86,-900.5376459561805
114,0.01,0.13999999999999999,0.85,-878.9091653730628
115,0.01,0.15,0.84,-859.2015827820367
116,0.01,0.16,0.83,-841.1936381162711
117,0.01,0.17,0.82,-824.7024518328587
118,0.01,0.18000000000000002,0.8099999999999999,-809.5752337996299
119,0.01,0.19000000000000003,0.7999999999999999,-795.6831224567245
120,0.01,0.20000000000000004,0.7899999999999999,-782.916529810176
121,0.01,0.21000000000000005,0.7799999999999999,-771.1815714843166
122,0.01,0.22000000000000006,0.7699999999999999,-760.3972921812401
123,0.01,0.23000000000000007,0.7599999999999999,-750.4934833063135
124,0.01,0.24000000000000007,0.75,-741.4089476717102
125,0.01,0.25000000000000006,0.74,-733.0901060743716
126,0.01,0.26000000000000006,0.73,-725.4898683741978
127,0.01,0.2700000000000001,0.72,-718.5667114233077
128,0.01,0.2800000000000001,0.71,-712.2839203804256
129,0.01,0.2900000000000001,0.7,-706.6089602786476
130,0.01,0.3000000000000001,0.69,-701.5129523371347
131,0.01,0.3100000000000001,0.6799999999999999,-696.9702351934296
132,0.01,0.3200000000000001,0.6699999999999999,-692.9579955199379
