,model,numberPoints,Pcn0_lbound,Pcn0_ubound,Pcn1_lbound,Pcn1_ubound,Ptrue0_lbound,Ptrue0_ubound,Ptrue1_lbound,Ptrue1_ubound,Puq0_lbound,Puq0_ubound,Puq1_lbound,Puq1_ubound,em_iter,num_points
166,poly4_58959.uai,20,0.01297133625698646,0.1567085893489567,0.8432914106510435,0.9870286637430136,0.028200000000000006,0.18660000000000002,0.8134000000000002,0.9718000000000002,0.013829958937881132,0.15648264709786436,0.8435173529021358,0.9861700410621188,2.0,7.0
167,poly4_58959.uai,20,0.01297133625698646,0.1567085893489567,0.8432914106510435,0.9870286637430136,0.028200000000000006,0.18660000000000002,0.8134000000000002,0.9718000000000002,0.013829958937881132,0.15648264709786436,0.8435173529021358,0.9861700410621188,2.0,8.0
168,poly4_58959.uai,20,0.01297133625698646,0.16135685441510958,0.8386431455848904,0.9870286637430136,0.028200000000000006,0.18660000000000002,0.8134000000000002,0.9718000000000002,0.013829958937881132,0.16128817305689544,0.8387118269431046,0.9861700410621188,3.0,9.0
169,poly4_58959.uai,20,0.01297133625698646,0.17213726726003972,0.8278627327399601,0.9870286637430136,0.028200000000000006,0.18660000000000002,0.8134000000000002,0.9718000000000002,0.013829958937881132,0.17209437913562514,0.8279056208643747,0.9861700410621188,2.0,10.0
170,poly4_58959.uai,20,0.011732123419753224,0.17213726726003972,0.8278627327399601,0.988267876580247,0.028200000000000006,0.18660000000000002,0.8134000000000002,0.9718000000000002,0.012581074314570949,0.17209437913562514,0.8279056208643747,0.9874189256854291,2.0,11.0
171,poly4_58959.uai,20,0.011732123419753224,0.17213726726003972,0.8278627327399601,0.988267876580247,0.028200000000000006,0.18660000000000002,0.8134000000000002,0.9718000000000002,0.012581074314570949,0.17209437913562514,0.8279056208643747,0.9874189256854291,2.0,12.0
172,poly4_58959.uai,20,0.006185012867675047,0.17215404144168858,0.8278459585583114,0.993814987132325,0.028200000000000006,0.18660000000000002,0.8134000000000002,0.9718000000000002,0.00706040973021847,0.17209437913562514,0.8279056208643747,0.9929395902697814,2.0,13.0
173,poly4_58959.uai,20,0.006185012867675047,0.17215404144168858,0.8278459585583114,0.993814987132325,0.028200000000000006,0.18660000000000002,0.8134000000000002,0.9718000000000002,0.00706040973021847,0.17209437913562514,0.8279056208643747,0.9929395902697814,2.0,14.0
174,poly4_58959.uai,20,0.006185012867675047,0.17215404144168858,0.8278459585583114,0.993814987132325,0.028200000000000006,0.18660000000000002,0.8134000000000002,0.9718000000000002,0.00706040973021847,0.17209437913562514,0.8279056208643747,0.9929395902697814,3.0,15.0
175,poly4_58959.uai,20,0.006185012867675047,0.17289255613117205,0.827107443868828,0.993814987132325,0.028200000000000006,0.18660000000000002,0.8134000000000002,0.9718000000000002,0.00706040973021847,0.17284615772687623,0.8271538422731238,0.9929395902697814,2.0,16.0
