,model,numberPoints,Paplp0_lbound,Paplp0_ubound,Paplp1_lbound,Paplp1_ubound,Pcn0_lbound,Pcn0_ubound,Pcn1_lbound,Pcn1_ubound,Ptrue0_lbound,Ptrue0_ubound,Ptrue1_lbound,Ptrue1_ubound,Puq0_lbound,Puq0_ubound,Puq1_lbound,Puq1_ubound,cn_time,em_iter,em_time,inside,num_points,precise0,precise1,uq_time
10,tree10_47451.uai,20,0.360161544,0.360169376,0.639830624,0.639838456,0.3385137685109419,0.3385457832883212,0.661454216711679,0.6614862314890584,0.36016154400000006,0.36016937600000004,0.639830624,0.639838456,0.33851821285795325,0.3385445500449548,0.6614554499550452,0.6614817871420468,137.225078,82.0,48374.0,0.0,11.0,0.338528675927508,0.6614713240724919,0.617692
11,tree10_47451.uai,20,0.360161544,0.360169376,0.639830624,0.639838456,0.3385131299692078,0.33854578328832113,0.6614542167116789,0.6614868700307923,0.36016154400000006,0.36016937600000004,0.639830624,0.639838456,0.3385132336466058,0.3385445500449548,0.6614554499550452,0.6614867663533943,101.92383,100.0,58952.0,0.0,12.0,0.3385132336466058,0.6614867663533943,1.052988
12,tree10_47451.uai,20,0.360161544,0.360169376,0.639830624,0.639838456,0.3385111520952941,0.33854580443338855,0.6614541955666114,0.6614888479047062,0.36016154400000006,0.36016937600000004,0.639830624,0.639838456,0.3385132336466058,0.3385457898756823,0.6614542101243178,0.6614867663533943,100.109969,100.0,59331.0,0.0,13.0,0.3385457898756823,0.6614542101243178,0.6482910000000001
13,tree10_47451.uai,20,0.360161544,0.360169376,0.639830624,0.639838456,0.3385111520952941,0.33854580443338855,0.6614541955666114,0.6614888479047062,0.36016154400000006,0.36016937600000004,0.639830624,0.639838456,0.3385132336466058,0.3385457898756823,0.6614542101243178,0.6614867663533943,97.878045,100.0,58650.0,0.0,14.0,0.33854562878777095,0.6614543712122288,2.115662
14,tree10_47451.uai,20,0.360161544,0.360169376,0.639830624,0.639838456,0.33850889759781705,0.33854580443338855,0.6614541955666114,0.661491102402183,0.36016154400000006,0.36016937600000004,0.639830624,0.639838456,0.3385132336466058,0.3385457898756823,0.6614542101243178,0.6614867663533943,76.290229,100.0,58664.0,0.0,15.0,0.3385156372245419,0.6614843627754583,0.692741
15,tree10_47451.uai,20,0.360161544,0.360169376,0.639830624,0.639838456,0.33850889759781705,0.33854580443338855,0.6614541955666114,0.661491102402183,0.36016154400000006,0.36016937600000004,0.639830624,0.639838456,0.3385132336466058,0.3385457898756823,0.6614542101243178,0.6614867663533943,75.947775,95.0,55821.0,0.0,16.0,0.33851609769976665,0.6614839023002336,0.593871
16,tree10_47451.uai,20,0.360161544,0.360169376,0.639830624,0.639838456,0.33850889759781705,0.33854580443338855,0.6614541955666114,0.661491102402183,0.36016154400000006,0.36016937600000004,0.639830624,0.639838456,0.3385132336466058,0.3385457898756823,0.6614542101243178,0.6614867663533943,75.579951,100.0,58854.0,0.0,17.0,0.3385192099591693,0.6614807900408306,0.62981
17,tree10_47451.uai,20,0.360161544,0.360169376,0.639830624,0.639838456,0.33850889759781705,0.33854580443338855,0.6614541955666114,0.661491102402183,0.36016154400000006,0.36016937600000004,0.639830624,0.639838456,0.3385132336466058,0.3385457898756823,0.6614542101243178,0.6614867663533943,84.680954,100.0,59937.0,0.0,18.0,0.3385412044556452,0.6614587955443547,0.705174
18,tree10_47451.uai,20,0.360161544,0.360169376,0.639830624,0.639838456,0.3385088918351,0.33854580443338855,0.6614541955666114,0.6614911081649001,0.36016154400000006,0.36016937600000004,0.639830624,0.639838456,0.3385132336466058,0.3385457898756823,0.6614542101243178,0.6614867663533943,83.416557,100.0,59153.0,0.0,19.0,0.33853302750440717,0.661466972495593,0.590572
19,tree10_47451.uai,20,0.360161544,0.360169376,0.639830624,0.639838456,0.3385088918351,0.33854580662505046,0.6614541933749498,0.6614911081649001,0.36016154400000006,0.36016937600000004,0.639830624,0.639838456,0.3385132336466058,0.3385457898756823,0.6614542101243178,0.6614867663533943,81.368733,100.0,58689.0,0.0,20.0,0.33853035652226204,0.661469643477738,0.581593
